ativo,margem
RAILL884,"14,28"
ABEVK909,"4,73"
CMIGS184,"8,75"
IRBRK560W2,"29,31"
RAILL904,"14,10"
ABEVK919,"4,64"
CMIGS187,"8,96"
IRBRK570,"29,75"
RAILL924,"13,91"
ABEVK920W1,"4,45"
CMIGS19,"9,17"
IRBRK570W2,"28,68"
RAILL944,"13,73"
ABEVK920W2,"4,48"
CMIGS192,"9,39"
IRBRK580,"29,16"
RAILL964,"13,55"
ABEVK929,"4,54"
CMIGS194,"9,60"
IRBRK590,"28,59"
RAILL984,"13,37"
ABEVK939,"4,44"
CMIGS197,"9,81"
IRBRL380,"46,55"
RAILL994,"13,28"
ABEVK940W1,"4,25"
CMIGS2,"6,30"
IRBRL385,"46,22"
RAILM141,"5,17"
ABEVK940W2,"4,28"
CMIGS20,"10,02"
IRBRL390,"45,90"
RAILM144,"5,36"
ABEVK949,"4,34"
CMIGS202,"10,24"
IRBRL395,"45,58"
RAILM146,"5,55"
ABEVK959,"4,24"
CMIGS204,"10,45"
IRBRL40,"45,26"
RAILM149,"5,73"
ABEVK960W1,"4,05"
CMIGS207,"10,67"
IRBRL405,"44,94"
RAILM151,"5,92"
ABEVK960W2,"4,08"
CMIGS21,"10,88"
IRBRL410,"44,63"
RAILM154,"6,12"
ABEVK969,"4,14"
CMIGS212,"11,10"
IRBRL415,"44,32"
RAILM156,"6,31"
ABEVK979,"4,05"
CMIGS214,"11,31"
IRBRL420,"44,01"
RAILM159,"6,50"
ABEVK980W1,"3,86"
CMIGS217,"11,53"
IRBRL425,"43,71"
RAILM164,"6,90"
ABEVK980W2,"3,88"
CMIGS85,"1,51"
IRBRL430,"43,40"
RAILM166,"7,09"
ABEVK986,"3,85"
CMIGS874,"1,61"
IRBRL435,"43,10"
RAILM169,"7,29"
ABEVK989,"3,95"
CMIGS90,"1,77"
IRBRL440,"42,80"
RAILM170,"6,70"
ABEVK996,"3,75"
CMIGS924,"1,88"
IRBRL442,"42,66"
RAILM171,"7,49"
ABEVL101,"3,77"
CMIGS95,"2,05"
IRBRL445,"42,51"
RAILM174,"7,70"
ABEVL106,"3,32"
CMIGS974,"2,17"
IRBRL447,"42,36"
RAILM179,"8,11"
ABEVL111,"2,89"
CMIGS99,"2,34"
IRBRL450,"42,21"
RAILM184,"8,52"
ABEVL113,"2,69"
CMIGT100,"2,28"
IRBRL452,"42,06"
RAILM185,"7,90"
ABEVL116,"2,49"
CMIGU100,"2,32"
IRBRL455,"41,92"
RAILM186,"8,73"
ABEVL118,"2,30"
CMIGV100,"1,34"
IRBRL457,"41,77"
RAILM189,"8,93"
ABEVL122,"2,12"
